Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière des pertes modélisées (W);Energie moyenne journalière des consommations totales (Wh/jour);Energie moyenne journalière des consommations HTA télérelevées à courbe de charge (Wh/jour);Energie moyenne journalière des consommations totales profilées (Wh/jour);Energie moyenne journalière des consommations HTA profilées (Wh/jour);Energie moyenne journalière des consommations PME-PMI profilées (Wh/jour);Energie moyenne journalière des consommations professionnelles profilées (Wh/jour);Energie moyenne journalière des consommations résidentielles profilées (Wh/jour);Puissance moyenne journalière de la production décentralisée totale (W);Puissance moyenne journalière de la production décentralisée télérelevée à courbe de charge (W);Puissance moyenne journalière de la production décentralisée profilée (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production autre profilée (W);Température moyenne journalière réalisée lissée (°Celcius);Température moyenne journalière normale lissée (°Celcius);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Energie moyenne journalière des consommations HTA totales (Wh/jour);Pseudo rayonnement;Puissance moyenne journalière de la production autre  (W)
2016-01-28;1;48842083104.0;614195979.0;3614811489.0;48528225424.0;13412518466.0;35115706958.0;1793193922.0;6109522558.0;5909021337.0;21303969140.0;4410774351.0;4209615764.0;201158587.0;177548300.0;76708.0;8.8;5.5;1440293361.0;318367473.0;495624563.0;15205712388.0;;2652113517.0
2016-01-25;1;48774417938.0;957778563.0;3602001274.0;49469666636.0;12888175157.0;36581491479.0;1767488154.0;6281491535.0;5944429227.0;22588082563.0;5748951702.0;5547672417.0;201279285.0;177680315.0;77189.0;7.4;5.4;2717067139.0;398842072.0;493923166.0;14655663311.0;;2633042492.0
2016-01-22;1;58030856000.0;984530542.0;4621694959.0;57948890837.0;13597483089.0;44351407748.0;1866245152.0;6713178865.0;7147245493.0;28624738238.0;6126897025.0;5948544292.0;178352734.0;155297594.0;77134.0;3.2;5.2;3186758368.0;280165837.0;602636687.0;15463728241.0;;2659972820.0
2015-12-21;12;41515331458.0;2856670146.0;2891520401.0;43435654574.0;11432140592.0;32003513982.0;1601588064.0;5691767736.0;5175507554.0;19534650627.0;8064884128.0;7905592049.0;159292080.0;143668828.0;97649.0;11.0;5.1;5513734611.0;315731432.0;396370465.0;13033728656.0;;2235406647.0
2016-01-31;1;39864514146.0;2718005625.0;3135018536.0;41663739605.0;8487162127.0;33176577478.0;1098484173.0;4451337737.0;4878335202.0;22748420367.0;8066842351.0;7865796778.0;201045573.0;177424884.0;76708.0;9.4;5.7;5157839646.0;280730315.0;414592729.0;9585646300.0;;2628272389.0
2016-01-29;1;48014193750.0;2006832500.0;3521752640.0;49626626162.0;12970824715.0;36655801448.0;1785436162.0;6242010403.0;6146325228.0;22482029654.0;7612006684.0;7410959701.0;201046983.0;177426442.0;76708.0;8.4;5.6;4558780771.0;371294400.0;470989132.0;14756260877.0;;2681931513.0
2016-02-06;2;40457702646.0;3527783854.0;3193707598.0;42774302783.0;9338434581.0;33435868202.0;1227749021.0;5087300582.0;5278278684.0;21842539915.0;9437638680.0;9225399958.0;212238722.0;188825111.0;76651.0;9.3;6.0;6267583799.0;480123528.0;399547090.0;10566183602.0;;2689931340.0
2016-06-14;6;32588761396.0;1281938229.0;2113440249.0;33622736937.0;12374206406.0;21248530531.0;1553271942.0;4849217316.0;3965571711.0;10880469562.0;4691270610.0;4134526014.0;556744596.0;535644233.0;92422.0;17.2;19.1;2311548479.0;1083131017.0;261916590.0;13927478348.0;;1296591113.0
2016-06-20;6;31802344521.0;1637814938.0;2053022715.0;33237005730.0;11859232223.0;21377773507.0;1341602440.0;4861632639.0;3724720464.0;11449817964.0;5377667876.0;4818137875.0;559530000.0;540522608.0;92192.0;16.7;19.6;2890098111.0;1179117129.0;252169013.0;13200834663.0;;1308452635.0
2016-07-15;7;29588569167.0;864137104.0;1752902684.0;30333832123.0;10164037773.0;20169794350.0;1102236680.0;4307712018.0;3583408221.0;11176437431.0;3624578626.0;3038020486.0;586558140.0;573588224.0;103975.0;18.0;21.4;1178934465.0;1369484328.0;262275882.0;11266274453.0;;1076159535.0
2016-06-18;6;28442271563.0;854556500.0;2054212672.0;28972746048.0;8826384925.0;20146361122.0;975248699.0;3998058974.0;3592712023.0;11580341426.0;3682833727.0;3124573215.0;558260511.0;537181944.0;92192.0;15.9;19.4;1286465222.0;1044145958.0;243590069.0;9801633624.0;;1352222548.0
2016-06-10;6;32884822750.0;446393688.0;2138413318.0;32970681147.0;12233036409.0;20737644738.0;1456727962.0;4686431521.0;3919886292.0;10674598962.0;2931802174.0;2382983028.0;548819146.0;526709497.0;92398.0;19.3;18.7;616693208.0;937308775.0;261136771.0;13689764371.0;;1377800191.0
2016-07-07;7;34525564875.0;395007563.0;2110625630.0;34503581859.0;13170344053.0;21333237805.0;1763730931.0;4928679158.0;3922105716.0;10718722000.0;2771690572.0;2173892563.0;597798010.0;583440592.0;104679.0;20.8;21.0;361998868.0;1310323169.0;288040396.0;14934074984.0;;1099368313.0
2016-05-19;5;35355177563.0;1229831313.0;2340307127.0;36096986433.0;12408887755.0;23688098678.0;1490586084.0;5027811276.0;4221354671.0;12948346647.0;4610535804.0;4074034451.0;536501352.0;512001495.0;80082.0;13.5;16.4;2211071250.0;1040045766.0;298588493.0;13899473839.0;;1359414746.0
2016-05-24;5;34982213875.0;643508688.0;2307190355.0;35523050840.0;12413005993.0;23110044847.0;1613284806.0;4991487688.0;4094863786.0;12410408567.0;3790951571.0;3244913792.0;546037779.0;522604989.0;78861.0;13.9;16.9;1275410743.0;1172317559.0;299415562.0;14026290799.0;;1343218540.0
