NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07481;2016-01-01 00:00:00;988.8;1018;6.5;3.3;9.6;4.1;7.9;60;12;;31;31;31;31;31;0;;;;;0;5;5;1;0;;4;2;;;20;2;0;0;3;8;11.3;2016-01-28 00:00:00;-0.5;2016-01-18 00:00:00;14.7;2016-01-26 00:00:00;-3;2016-01-18 00:00:00;10;2016-01-02 00:00:00;23;2016-01-03 00:00:00;0;0;6;18
07510;2016-01-01 00:00:00;1011.9;1017.8;8.8;2.4;12.4;6;10;234;19;58;31;31;31;31;31;31;;;;;0;2;14;10;0;;;;;;17;2;0;0;1;11;12.8;2016-01-31 00:00:00;3;2016-01-16 00:00:00;17.2;2016-01-25 00:00:00;-2.3;2016-01-16 00:00:00;38.9;2016-01-06 00:00:00;28.6;2016-01-11 00:00:00;2;;6;18
07535;2016-01-01 00:00:00;987;1018.8;6.8;2.6;10.3;4;9;159;19;62;31;31;31;31;31;31;;;;;0;4;14;6;0;;;;;;16;1;0;0;0;13;11.2;2016-01-08 00:00:00;0.7;2016-01-16 00:00:00;17.1;2016-01-25 00:00:00;-1.7;2016-01-16 00:00:00;23.1;2016-01-06 00:00:00;27.6;2016-01-11 00:00:00;;;6;18
07560;2016-01-01 00:00:00;840.8;;0.5;4.5;2.5;-1.6;5.3;141;18;;0;31;31;31;31;0;;;;;11;20;10;4;0;;11;9;2;0;30;19;11;5;21;29;9.1;2016-01-26 00:00:00;-8.6;2016-01-16 00:00:00;12.4;2016-01-26 00:00:00;-9.7;2016-01-16 00:00:00;33.5;2016-01-01 00:00:00;43.5;2016-01-31 00:00:00;0;0;6;18
07577;2016-01-01 00:00:00;1009.5;1018.6;7.1;2.9;10.8;4.2;8.4;49;11;74;31;31;31;31;31;31;;;;;0;4;4;1;0;;1;0;;;9;0;0;0;0;5;11.2;2016-01-31 00:00:00;1.2;2016-01-18 00:00:00;16.8;2016-01-11 00:00:00;-2.5;2016-01-22 00:00:00;10.8;2016-01-01 00:00:00;18.9;2016-01-16 00:00:00;0;0;6;18
07591;2016-01-01 00:00:00;;;1.9;3.1;7.4;-1.7;5.1;102;12;141;0;31;31;31;31;31;;;;;1;19;6;5;0;;;;;;13;0;0;0;0;7;6.7;2016-01-27 00:00:00;-3.5;2016-01-15 00:00:00;15;2016-01-27 00:00:00;-10.3;2016-01-16 00:00:00;21.9;2016-01-11 00:00:00;17.8;2016-01-16 00:00:00;;;6;18
07607;2016-01-01 00:00:00;1011.6;1018.8;8.8;2.5;13.1;5.5;9.9;186;18;80;31;31;31;31;31;31;;;;;0;3;14;9;0;;;;;;16;1;0;0;1;11;12.7;2016-01-31 00:00:00;2.7;2016-01-16 00:00:00;18.1;2016-01-08 00:00:00;-2.6;2016-01-16 00:00:00;35;2016-01-05 00:00:00;27.2;2016-01-11 00:00:00;2;0;6;18
07621;2016-01-01 00:00:00;975.6;1019.4;7.8;2.6;13.2;3.6;8.8;142;17;103;31;31;31;31;31;31;;;;;0;3;9;5;0;;;;;;13;2;0;0;1;5;12.9;2016-01-07 00:00:00;1.9;2016-01-16 00:00:00;21.6;2016-01-25 00:00:00;-2.4;2016-01-17 00:00:00;32.7;2016-01-18 00:00:00;24.5;2016-01-11 00:00:00;0;;6;18
07627;2016-01-01 00:00:00;970;1019.9;7.3;2.6;12.9;3;8.5;97;17;113;31;31;31;31;31;31;;;;;0;4;5;4;0;;;;;;13;0;0;0;0;4;12;2016-01-31 00:00:00;1.4;2016-01-16 00:00:00;20.5;2016-01-25 00:00:00;-4.9;2016-01-17 00:00:00;19.2;2016-01-02 00:00:00;17.4;2016-01-06 00:00:00;;;6;18
07630;2016-01-01 00:00:00;1001;1019.3;8.3;2.4;11.9;5.5;9.4;45;14;78;31;31;31;31;31;31;;;;;0;2;2;;;;;;;;19;1;0;0;3;8;12.3;2016-01-31 00:00:00;3;2016-01-16 00:00:00;18.3;2016-01-07 00:00:00;-1.4;2016-01-17 00:00:00;9.2;2016-01-06 00:00:00;27.4;2016-01-11 00:00:00;0;0;6;18
07643;2016-01-01 00:00:00;1017.7;1018.7;8.9;2.6;12.6;5.8;8.9;14;3;101;31;31;31;31;31;31;;;;;0;2;1;;;;;;;;12;1;0;0;0;2;14.2;2016-01-31 00:00:00;2.8;2016-01-18 00:00:00;17.5;2016-01-29 00:00:00;-0.9;2016-01-22 00:00:00;5.6;2016-01-18 00:00:00;23.9;2016-01-11 00:00:00;0;0;6;18
