Maille géographique,Année,Nom IRIS,Code IRIS,Type IRIS,Nom commune,Code commune,Nom EPCI,Code EPCI,Type EPCI,Nom département,Code département,Nom région,Code région,Nb sites secteur résidentiel,Conso totale secteur résidentiel (MWh),Conso moyenne secteur résidentiel (MWh),Nb sites Agriculture,Conso totale Agriculture (MWh),Nb sites Industrie,Conso totale Industrie (MWh),Nb sites Tertiaire,Conso totale Tertiaire (MWh),Nb sites Secteur non affecté,Conso totale Secteur non affecté (MWh)
EPCI,2015,,,,,,CC de Grand Lieu,244400438,CC,Loire-Atlantique,,Pays de la Loire,,16995,121550.2382702,7.15211757988818,43,8926.42705724912,74,57224.6756207898,127.0,23237.4143789941,,
EPCI,2011,,,,,,CC de la Région de Blain,244400453,CC,Loire-Atlantique,,Pays de la Loire,,7288,49171.2026015443,6.74687192666634,4,535.002615863677,,,54.0,10464.9330054685,0,0.0
EPCI,2013,,,,,,CC de la Région de Blain,244400453,CC,Loire-Atlantique,,Pays de la Loire,,7498,55895.111672596,7.45466946820431,4,485.856551149851,,,57.0,12408.2450930444,0,0.0
EPCI,2012,,,,,,CC du Secteur de Derval,244400495,CC,Loire-Atlantique,,Pays de la Loire,,5404,40898.9126319362,7.56826658622061,12,1587.0333110179,15,1982.61003824459,29.0,3754.4069333168,0,0.0
EPCI,2014,,,,,,CC du Secteur de Derval,244400495,CC,Loire-Atlantique,,Pays de la Loire,,5458,38807.4575352829,7.11019742310057,15,1603.40483183752,15,1578.62682724268,30.0,4443.41390935458,0,0.0
EPCI,2015,,,,,,CC d'Erdre et Gesvres,244400503,CC,Loire-Atlantique,,Pays de la Loire,,26305,195581.699588508,7.43515299709212,17,2131.12289482527,76,17115.7142459417,198.0,33417.1009483799,,
EPCI,2011,,,,,,CC Loire Divatte,244400511,CC,Loire-Atlantique,,Pays de la Loire,,11368,76918.7195648177,6.76624908205645,17,5750.88303989153,44,10297.7514316224,86.0,23615.7749919664,0,0.0
EPCI,2012,,,,,,CC Loire Divatte,244400511,CC,Loire-Atlantique,,Pays de la Loire,,11660,83273.163033219,7.14178070610798,18,5834.84721664882,46,10243.5949042981,92.0,24557.5839615816,0,0.0
EPCI,2014,,,,,,CC Loire Divatte,244400511,CC,Loire-Atlantique,,Pays de la Loire,,11936,79131.0348521181,6.62961082876325,21,5809.38736552106,46,9821.37718561662,98.0,28271.411242315,0,0.0
EPCI,2015,,,,,,CC Loire Divatte,244400511,CC,Loire-Atlantique,,Pays de la Loire,,12070,81403.103465624,6.7442504942522,20,6548.60384367481,47,10581.6604956241,99.0,29813.2027123352,0,0.0
EPCI,2012,,,,,,CC de la Loire Atlantique Méridionale,244400529,CC,Loire-Atlantique,,Pays de la Loire,,4342,32084.8361816328,7.38941413671874,12,1414.29667464671,17,4936.67442948811,33.0,5690.50620192455,0,0.0
EPCI,2015,,,,,,CC de la Loire Atlantique Méridionale,244400529,CC,Loire-Atlantique,,Pays de la Loire,,4480,31603.4890530331,7.05435023505204,14,1440.56078513018,14,5159.90188540911,37.0,5848.2465308599,0,0.0
EPCI,2013,,,,,,CC de la Région de Nozay,244400537,CC,Loire-Atlantique,,Pays de la Loire,,7264,58579.5197015687,8.06436119239657,5,1082.4238633564,18,9736.13505548007,46.0,8373.40092398979,,
EPCI,2014,,,,,,CC de la Région de Nozay,244400537,CC,Loire-Atlantique,,Pays de la Loire,,7340,52996.0465075268,7.22016982391373,5,1230.25291305842,20,9559.09493749325,48.0,8462.45159852755,0,0.0
EPCI,2015,,,,,,CC de la Région de Nozay,244400537,CC,Loire-Atlantique,,Pays de la Loire,,7393,54806.1716791951,7.41325195173747,5,1130.99185346829,21,9667.00743526932,51.0,8909.09596208053,,
EPCI,2011,,,,,,CC du Pays d'Ancenis,244400552,CC,Loire-Atlantique,,Pays de la Loire,,29099,201895.960128469,6.938243930323,40,7615.96529082837,101,153414.541460052,252.0,50213.2714361179,,
EPCI,2015,,,,,,CC du Pays d'Ancenis,244400552,CC,Loire-Atlantique,,Pays de la Loire,,30372,210209.875938703,6.92117331551108,45,8740.36604942345,109,158684.771934926,289.0,59057.3042295685,,
EPCI,2015,,,,,,CC de Vallet,244400578,CC,Loire-Atlantique,,Pays de la Loire,,9524,64353.1452829308,6.75694511580541,7,323.462817978113,32,9521.03923677621,64.0,23848.3502026443,,
EPCI,2012,,,,,,CC du Sud Estuaire,244400586,CC,Loire-Atlantique,,Pays de la Loire,,18007,104823.996738027,5.82129153873642,,,23,7541.34018565008,119.0,27054.2881597242,,
EPCI,2013,,,,,,CA de la Presqu'Ile de Guérande Atlantique,244400610,CA,Loire-Atlantique,,Pays de la Loire,,77107,381229.744475212,4.94416517923421,11,1031.42711435107,79,28811.8468695604,483.0,153477.984146348,5,174.898471507886
EPCI,2011,,,,,,CC Sèvre Maine et Goulaine,244400651,CC,Loire-Atlantique,,Pays de la Loire,,6148,45566.1803488014,7.41154527469118,5,2105.14416281072,21,25034.1604751147,41.0,8807.68276354937,0,0.0
EPCI,2012,,,,,,CC Sèvre Maine et Goulaine,244400651,CC,Loire-Atlantique,,Pays de la Loire,,6209,48375.5535362244,7.7911988301215,5,2118.54478142957,21,26190.981602019,45.0,9354.65247362576,0,0.0
EPCI,2011,,,,,,CC de Pornic,244400677,CC,Loire-Atlantique,,Pays de la Loire,,32585,171014.945953675,5.24827208696255,0,0.0,35,30775.0424004236,206.0,43516.5196695941,4,389.562830367449
EPCI,2016,,,,,,CC de la Région de Blain,244400453,CC,Loire-Atlantique,,Pays de la Loire,,7736,54550.6876984394,7.05153667249734,4,537.476088501625,,,58.0,11925.1290532059,0,0.0
EPCI,2016,,,,,,CC du Castelbriantais,244400487,CC,Loire-Atlantique,,Pays de la Loire,,18119,123296.865019245,6.80483829235858,25,3463.39643700444,73,103902.039411991,184.0,31085.8083601141,0,0.0
EPCI,2016,,,,,,CC de Vallet,244400578,CC,Loire-Atlantique,,Pays de la Loire,,9632,67228.1101822435,6.97966260197711,7,254.703755879128,34,8740.76176151954,67.0,23376.8280975537,0,0.0
EPCI,2016,,,,,,CC du Sud-Estuaire,244400586,CC,Loire-Atlantique,,Pays de la Loire,,18733,107425.896054978,5.73458047589699,3,326.186053537164,23,9022.39754858959,123.0,28054.2890690212,,
EPCI,2016,,,,,,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),244400610,CA,Loire-Atlantique,,Pays de la Loire,,79475,375568.29968154,4.72561559838364,13,1396.09789928034,83,28239.311520176,503.0,160057.140299282,4,336.946293991636
EPCI,2016,,,,,,CC C?ur d'Estuaire,244400701,CC,Loire-Atlantique,,Pays de la Loire,,5755,46433.7582093101,8.06842019275588,0,0.0,4,114.084115513998,41.0,19477.6326448091,0,0.0
EPCI,2016,,,,,,Nantes Métropole,244400404,ME,Loire-Atlantique,,Pays de la Loire,,368641,1651882.25878849,4.48100525657343,30,7939.34869201739,849,423951.750059983,3928.0,1117277.38254432,8,790.319328894564
EPCI,2016,,,,,,CC C?ur Pays de Retz,244400545,CC,Loire-Atlantique,,Pays de la Loire,,7912,59067.0430230213,7.46550088764172,4,438.598015034023,15,3676.23021710707,62.0,11090.0437400993,,
EPCI,2016,,,,,,CC du Pays d'Ancenis,244400552,CC,Loire-Atlantique,,Pays de la Loire,,32205,231440.816129291,7.18648707124021,47,8714.01003789944,118,163727.084270655,308.0,61058.3397137605,,
EPCI,2011,,,,,,CC du Pays de Pontchâteau Saint-Gildas-des-bois,200000438,CC,Loire-Atlantique,,Pays de la Loire,,16087,103159.153718404,6.41257871066104,8,1167.34176485907,37,21805.18166562,92.0,22738.1606810819,,
EPCI,2013,,,,,,CC du Pays de Pontchâteau Saint-Gildas-des-bois,200000438,CC,Loire-Atlantique,,Pays de la Loire,,16585,116906.381860075,7.04892263250375,7,1104.73669082271,39,23086.4786857302,92.0,23037.0307710539,6,44.258435915212
